ExternalURL,Title,Description,Date,ShortURL,ThumbnailPath,Body
,It’s Machine Learning Time!,"Stronger than ever
",2022-05-18,2022-05-18-machine-learning-stronger-than-ever,./assets/splash/ML2022_Event_Splash.png,"#Should we be worried about AI?

Artificial intelligence is now all over the place. We see all those sci-fi movies, get immersed in the internet of things and start to feel a bit… off? Well, the progress is there and our response is, as always, to give you the best info on it!

Our very special guest, [Jesus Saldana Gonzalez](https://www.linkedin.com/in/jesusalgon/), the Data Scientist at [Globant](https://www.globant.com/#utm_source=mediapart&utm_medium=org&utm_campaign=a:ebr_r:eme_bo:ebr_co:multiple_ci:multipleeb-generic_s:mediapart_m:org_o:bra_bi:nap_f:img3_id:100023_ac:ao_t:conf42-golang-2022), will answer one of the scariest questions for you: Will artificial intelligence take over your job? 
We also have prepared over 10 other amazing talks for you on topics such as Intelligent Business Agility, Hacking and Securing Machine Learning Systems and Serverless Architecture.

Sounds exciting? All the talks are available now on our website, so join and enjoy!

Also, a huge shoutout to our Gold sponsor, [Globant](https://www.globant.com/#utm_source=mediapart&utm_medium=org&utm_campaign=a:ebr_r:eme_bo:ebr_co:multiple_ci:multipleeb-generic_s:mediapart_m:org_o:bra_bi:nap_f:img3_id:100023_ac:ao_t:conf42-golang-2022), we thank you for your support!
 
"
,Final countdown to Cloud Native 2022!,Going above and beyond,2022-04-25,2022-04-25-cloud-native-above-and-beyond,./assets/splash/CLOUD2022_Event_Splash.png,"#What’s the secret to making our events so exciting? Having the best speakers!

Get ready for having your mind blown with our 6 fabulous keynotes. You will have a look into the very promising future of Cloud Native with [Ciara Carey](https://www.linkedin.com/in/ciara-carey-7540173/). [Nick Bergam](https://www.linkedin.com/in/nicholas-bergam/) will share his insights with you on how to secure your cloud resources from the dangers of the digital world. There will also be talks on such fascinating topics as service mesh, serverless security and how to optimise your non-coding time. 
Mark your calendars, cause there are over 50 talks at this event for you to check out!  

Special thanks to our lovely Diamond sponsor, [Cloudsmith](https://www.conf42.com/cloudsmith).
"
,Cloudsmith <> Conf42 Cloud Native 2022,"Manage All Of Your Artifact Repositories, in the Cloud",2022-04-08,2022-04-08-cloudsmith-cloud-native-sponsor-announcement,./assets/splash/BLOG_Cloudsmith_Cloud_2022.png,"#Cloud-native, Secure, Universal Artifact Management Made Simple by our Diamond Sponsor Cloudsmith

Cloudsmith is the only truly cloud-native platform for engineers looking to set up a secure, cloud-native artifact repository in 60 seconds. Cloudsmith offers 24/7 engineer support, 225 points of presence, support for 28+ formats, and is ISO 270001 certified.

We make universal artifact management simple, easy and secure. Ownership of how your software artifacts, containers, and packages are pulled in, stored, and distributed is vital. It's the central point everything should pass through, and going forwards, as supply chain attacks increase, every single opening in your supply chain is a vector for attack.

You need a single source of truth, for all software and dependencies, that isolates and protects your teams and customers from supply chain attacks.

**Verifying assets with Continuous Packaging**

From signature verification to Docker vulnerability scanning, Cloudsmith helps you continuously assess threats and prevent tampering or corruption of your software. Easily protect your customers by shipping clean software only. Using Continuous Packaging (CP), Cloudsmith offers the observability and control to ensure that your software is always verified, packaged, and ready to deliver.

**The Package Delivery Network for Distributors**

Cloudsmith's Package Delivery Network (PDN) was built specifically for software distribution at the edge. Use entitlement tokens to seamlessly sell and distribute your software while utilizing custom domains to increase trust and present your brand as the DNS endpoint for global delivery. Whether deploying, or shipping licensed software to your customers, our global Package Delivery Network (PDN) is optimized to ensure lightning-fast delivery.

**Repositories Built The Way You Want**

Cloudsmith's multi-format repositories allow you to create a repository structure that works for your unique teams and processes. No more repository-per-format used. Instead, you can have as many formats within a repo as you like - letting you create a repo per environment (dev, stage, production), project, or per format.

**Ready to learn more?**

- Download Cloudsmith's latest O'Reilly Report:[**The Rise of Continuous Packaging**](https://cloudsmith.com/developers/resources/the-rise-of-continuous-packaging/)
- [Schedule a demo](https://calendly.com/d/cmm-7s5-bwj/cloudsmith-demo)
- Sign up for a free [14-day trial](https://cloudsmith.com/signup)(no credit card required!)
- Explore our[Cloudsmith guides](https://help.cloudsmith.io/docs) to help you easily get started
- Cloudsmith is hiring! Check out our open positions [here](https://apply.workable.com/cloudsmith)

Don't forget to tune into our session **[The Future is Cloud-native and Your Organization Should Be Too](https://www.conf42.com/Cloud_Native_2022_Ciara_Carey_future_is_cloudnative_your_organization)** with **[Ciara Carey](https://www.linkedin.com/in/ciara-carey-7540173), Developer Relations, Cloudsmith.**"
,Golang event is live!,May the Gophers be with you...,2022-03-30,2022-03-30-may-the-gophers-be-with-you,./assets/splash/GOLANG2022_Event_Splash.png,"#A treat for our fellow Gophers!

[Agnes Muthoni](https://www.linkedin.com/in/agnesmuthoni/) is here to talk to you about Andela, the help you might need to put your career path on the right track. This team, [Adelina Simion](https://www.linkedin.com/in/adelina-simion/) and [Andy Kuszyk](https://www.linkedin.com/in/andy-kuszyk/), will walk you through what Load Testing is, why it’s so important and what some of its limitations are. Listen to [Walter Demian Schroeder](https://www.linkedin.com/in/walter-demian-schroeder/) talking about Workflows with Go and [Liam Hampton](https://www.linkedin.com/in/liam-conroy-hampton/) explaining how to get started with IoT devices. Finally, [Tamimi](https://www.linkedin.com/in/atamimi1/) will introduce you to event-driven architecture and how it’s used in real life. This powerful set is only the beginning of this Golang adventure, come and join!

A very special thanks to our amazing graphic designer, [Blanka Pawlikowska](https://www.linkedin.com/in/blanka-pawlikowska-michalak-34322a173/), who’s the creator of this Gopher in space, but also our home page image. You’re the best!"
,Microsoft loves Conf42 Golang!,"Join Microsoft and Conf42 online on March 31st, 2022!",2022-03-24,2022-03-24-microsoft-golang-sponsor-announcement,./assets/splash/BLOG_2022_Microsoft_Golang_2022.png,"# Microsoft loves Conf42 Golang!
# Join us online on March 31st, 2022!

![](./assets/custom/MSFT-BANNER-CONF42GOLANG2022.png)

[Conf42 Golang](https://www.conf42.com/golang2022) is something we look forward to every single year. The Go community is vibrant, diverse, and inclusive, and we love that we can help make Conf42 Golang happen and bring the community together, in a unique, [online](https://www.conf42.com/golang2022), way this year again.

[Golang](https://go.dev/) is widely supported by many different teams at [Microsoft](https://developer.microsoft.com/en-us/). Moreover, several of our customers rely on our tools and platforms for their Golang codebases.

As an example, we have built out [support for Golang in Visual Studio Code](https://code.visualstudio.com/docs/languages/go) and [Golang on Azure](https://docs.microsoft.com/en-us/azure/developer/go/).

#### We invite you to check the technical resources below:

- [Microsoft Azure @ Conf42 Golang 2022](https://aka.ms/AzureAtConf42Golang2022)
- [Azure Heroes @ Conf42 Golang 2022 – Blockchain-based digital badges for developers (NFT Tokens)](https://aka.ms/AzureHeroesAtConf42Golang)
- [Cloud Skills Challenge - Conf42 Golang 2022 - Free course @ Microsoft LEARN! Learn about Golang on Azure, free beginner courses.](https://aka.ms/MicrosoftAzureAtConf42Golang)

Enjoy [Conf42 Golang 2022](https://www.conf42.com/golang2022)!!!

_This blog was written on behalf of Microsoft by Juarez Junior, Azure Developer Relations Lead at Microsoft Ireland._

_Microsoft Ireland is a Gold sponsor of Conf42 Golang 2022._

![](./assets/sponsors/microsoft.png)"
,Andela <> Conf42 Golang 2022,Build remote engineering teams with Andela,2022-03-22,2022-03-22-andela-sponsor-announcement,./assets/splash/BLOG_2022_Andela_Golang_2022.png,"####Andela was created with one thing in mind: Brilliance is evenly distributed, but opportunity isn’t. Our platform bridges that gap.
We specialize in helping our highly-skilled, global technology talent community in emerging markets, connect with hundreds of leading companies like InVision, Cloudflare, and ViacomCBS who leverage Andela to scale their technology teams quickly and cost-effectively. Our talent spans six continents and Andela is backed by investors including Generation Investment Management, SoftBank, Chan Zuckerberg Initiative, Spark Capital, and Google Ventures.

The company is represented at the Conf42 Golang 2022 event by [Agnes Muthoni](https://www.linkedin.com/in/agnesmuthoni), Director of Strategic Partnerships. Discover her Keynote [Bringing the Future of Work to life via Andela!](https://www.conf42.com/Golang_2022_Agnes_Muthoni_future_of_work_andela)

* __[For Engineers](https://bit.ly/Conf42)__ - Connecting Brilliance with Opportunity
* __[For Companies](https://bit.ly/Andela-For-Companies)__ - Accelerate Innovation with Vetted Technical Talent
* __[Andela Enterprise](https://bit.ly/Andela-Enterprises)__ - The simplest, fastest way to build teams with global talent
* __Andela on [YouTube](https://www.youtube.com/c/AndelaVideos)__"
,Rollbar <> Conf42 Chaos Engineering 2022,Continuously Improve Your Error Resolution Time with Rollbar,2022-03-08,2022-03-08-rollbar-sponsor-announcement,./assets/splash/BLOG_Rollbar_Chaos2022.png,"# [Rollbar](https://try.rollbar.com/chaos-eng2022/?utm_campaign=chaoseng) is the Diamond Sponsor of [Conf42 Chaos Engineering 2022](https://www.conf42.com/ce2022)!

Continuously Improve Your Error Resolution Time

Rollbar is represented at the conference by [Nick Hodges](https://twitter.com/NickHodges) in his keynote: [Self Healing Systems](https://www.conf42.com/Chaos_Engineering_2022_Nick_Hodges_self_healing_systems).

Stay tuned for the new [Conf42Cast](https://www.conf42.com/podcast). [Miko Pawlikowski](https://twitter.com/mikopawlikowski) had a chat with Finbar Fleming, Customer Engineer at Rollbar. Discover this this episode and others on [YouTube](https://youtube.com/playlist?list=PLIuxSyKxlQrBn4kx6OAYNUAiPvFlDptzv) or [Spotify](https://open.spotify.com/show/6rLCuMDqfQmB0aZ7lDpGNQ?si=syNvC4cjR_qRhjibKI9B2g&nd=1)!

####[Win Free Lunch for Entire Dev Team](https://try.rollbar.com/chaos-eng2022/?utm_campaign=chaoseng)!
Enjoy lunch on us while you learn how Rollbar can help you; Deploy, monitor, alert, rollback, fix, release again in minutes!

* [Try Rollbar](https://rollbar.com/signup)
* [Rollbar on Github](https://try.rollbar.com/chaos-eng2022/clkn/https/github.com/rollbar)
* [Get in touch with the Dev Community](https://dev.to/rollbar)
* [Rollbar blog](https://rollbar.com/blog) 

#### RSVP for FREE to attend [Conf42 Chaos Engineering 2022](https://www.conf42.com/ce2022#register)!"
,Microsoft <> Conf42 Chaos Engineering 2022,"Join us online on March 10th, 2022!",2022-03-03,2022-03-03-microsoft-chaos-sponsor-announcement,./assets/splash/BLOG_2022_Microsoft_CE_2022.png,"![](./assets/sponsors/microsoft.png)

Microsoft wants to help the Chaos Engineering community grow.
They are missing the opportunity to meet with Chaos Engineers in person this year, and they are putting all our energy into connecting virtually.

Microsoft is represented at the conference by John Engel-Kemnetz, Principal Program Manager. Watch his talk __[Chaos engineering at Microsoft with Azure Chaos Studio](https://www.conf42.com/Chaos_Engineering_2022_John_EngelKemnetz_azure_chaos_studio)__, a great introduction to chaos engineering practices at Microsoft!

Make sure to check the technical resources below:

* __[Microsoft Azure](https://aka.ms/MicrosoftAzureAtConf42Python2022) at Conf42 Chaos Engineering 2022__

Improve application resilience with chaos testing by deliberately introducing faults that simulate real-world outages. Azure Chaos Studio Preview is a fully managed chaos engineering experimentation platform for accelerating discovery of hard-to-find problems, from late-stage development through production. Disrupt your apps intentionally to identify gaps and plan mitigations before your customers are impacted by a problem.

![](./assets/custom/Conf42-ChaosEngineering2022_10032022.png)

* __[Azure Heroes](https://aka.ms/AzureHeroesAtConf42ChaosEngineering) at Conf42 Chaos Engineering 2022__

Blockchain-based digital badges (NFTs). A fun way to earn digital collectibles for inclusive behaviour and meaningful impact in the technical community. Your unique badger is very special and cryptographically secured by the blockchain (independent of the Azure Heroes programme) so it requires a blockchain wallet to safely store it.

![](./assets/custom/AzureHeroesQRConf42ChaosEng.png)

* __[Cloud Skills Challenge](https://aka.ms/CloudSkillsChallengeConf42ChaosEngineering) - Conf42 Chaos Engineering 2022__

Free course @ Microsoft LEARN! Learn all things about how to safeguard your cloud resources!

#### [Microsoft](https://aka.ms/MicrosoftAzureAtConf42ChaosEngineering) - Gold Sponsor of [Conf42 Chaos Engineering 2022](https://www.conf42.com/ce2022)

"
,Two weeks until Chaos Engineering event!,Embrace the power of chaos!,2022-02-24,2022-02-24-embrace-the-power-of-chaos,./assets/splash/CE2022_Event_Splash.png,"# Embrace the power of chaos!

This year's Chaos Engineering edition has prepared over 20 inspiring talks specially for you! With as many as six amazing keynote speakers to start you off. 

Intelligent monitoring of self-healing systems? [Nick Hodges](https://www.linkedin.com/in/nickhodges/) is there for you. Wanna know how to keep your applications reliable all the time? Ask [Ana Margarita Medina](https://www.linkedin.com/in/anammedina/). How about securing your Chaos Engineering? Bam! [Sakshyam Shah](https://www.linkedin.com/in/sshahconnects/) has got you covered. Planning on going serverless? Let [Gunnar Grosch](https://www.linkedin.com/in/gunnargrosch/) show you the way. 
I’m sure you know that this is just an appetiser. Come and see what else is on the table!

Have you heard of our amazing diamond sponsor? Thank you, [Rollbar](https://rollbar.com/)! 
"
,The first edition of Conf42 Mobile is here!,The latest tech you can have in your pocket!,2022-02-16,2022-02-16-are-unicorns-real,./assets/splash/BLOG_mobile2022.png,"# Are unicorns real?

Each one of us wonders whether mythical creatures are real or not at least once a day… Right? Well, for our keynote speaker, [Jessica Wirt](https://www.linkedin.com/in/jessica-wirt-244866161/) who has delved into this issue, unicorns have no secrets. You will not only hear all about them, but you will also learn to assess your team’s performance more efficiently. 

What could be better than one keynote talk? Two keynote talks, of course! [Manuel Carrasco Molina](https://www.linkedin.com/in/stuffmc/) will get you to think about our climate actions and how important it is to collaborate together to create a better world in the future. No time to waste, time to learn!

Let us just quickly say the biggest “thank you” to our media partners and we’re all good to go!
"
,Our very first 2022 event!,You just can’t miss it!,2022-01-26,2022-01-26-our-very-first-2022-event,./assets/splash/BLOG_python2022.png,"# Our very first 2022 event! You just can’t miss it!

Whatever your New Year resolutions are, what we all hope to see is progress. Our keynote speaker, [Rain Leander](https://www.linkedin.com/in/rainleander/), will encourage you to find your inner child and dare to fail in order to truly develop your potential. 

Whether you’re more into security or machine learning, we’ve got you covered. And if you wish to dive deeper, [Andrew Knight](https://www.linkedin.com/in/andrew-leland-knight/) will keep you busy with wrapping your head around wrapping functions around functions. How exciting! And there is so much more for you to explore!

But, before you get going to check out our mind-blowing talks, let’s appreciate our gold sponsors, [Cockroach Labs](https://www.cockroachlabs.com/) and [Microsoft](https://www.conf42.com/microsoft). Thank you for supporting us!
"
,Microsoft loves Conf42 Python!,"Join us online on January 27th, 2022!",2022-01-25,2022-01-25-microsoft-loves-conf42-python,./assets/splash/BLOG_2022_Microsoft_Python2022.png,"# Microsoft loves Conf42 Python!

### Join us online on January 27th, 2022!

![](./assets/custom/microsoft_python_azure.png)

[Conf42 Python](https://www.conf42.com/python2022) is something we look forward to every single year. The Node.js community is vibrant, diverse, and inclusive, and we love that we can help make Conf42 Python happen and bring the community together, in a unique, [online](https://www.conf42.com/python2022), way this year again.

[Python](https://www.python.org/) is widely used and supported by many different teams at [Microsoft](https://developer.microsoft.com/en-us/). Moreover, several of our customers rely on our tools and platforms for their Python codebases.

As an example, we have built out [support for Python in Visual Studio Code](https://aka.ms/MicrosoftAzureAtConf42Python2022) and [Python on Azure](https://aka.ms/MicrosoftAzureAtConf42Python2022).

We are invested in Python for the long term, and we want to help the Python community grow.

We are missing the opportunity to meet with Python developers in person this year, and we are putting all our energy into connecting virtually.

Meanwhile, we invite you to check the technical resources below:

- [Microsoft Azure @ Conf42 Python 2022](https://aka.ms/MicrosoftAzureAtConf42Python2022)
- [Azure Heroes @ Conf42 Python 2022 – Blockchain-based digital badges for developers (NFT Tokens)](https://aka.ms/AzureHeroesAtConf42Python2022)
- [Cloud Skills Challenge - Conf42 Python 2022 - Free course @ Microsoft LEARN! Learn all things about Python on Azure, free beginner to Ninja courses.](https://docs.microsoft.com/en-us/learn/challenges?id=cba210f7-ace3-4450-8f22-2df249457569)

_This blog was written on behalf of Microsoft by Juarez Junior, Azure Developer Relations Lead at Microsoft Ireland._

#### _Microsoft Ireland is a Gold sponsor of [Conf42 Python 2022](https://www.conf42.com/python2022)_"
,Excited to see you in 2022!,Happy New Year to all of our favourite tech geeks!,2022-01-01,2022-01-01-happy-new-year,./assets/splash/BLOG_2022_Happy_New_Year.png,"# Happy New Year to all of our favourite tech geeks!

If your resolutions include something like learning new stuff and widening your professional horizons, then fear not. Conf42 is ready for 2022 and it’s got your back!

Pick a number, any number. Now, double it. And double again! That’s how many new conferences we have for you this year! Okay, that one’s on me. We’re not magicians, guys! But get ready for 10+ amazing conferences! Promise, we’ll keep you busy. 

We are very excited for the upcoming year. But let us take a quick step back and say the biggest THANK YOU to, well, you! Everything we do is because of you and for you. Stop me before it’ll get too cheesy. We are simply grateful and proud to be a part of this with you all. Take care, stay safe and let’s rock this 2022 together!
"
,DevSecOps event gift - wrapped for you!,Only one day away.,2021-12-01,2021-12-01-christmas-is-coming,./assets/splash/DEVSECOPS2021_Session_Splash.png,"""####Teleport allows engineers and security professionals to unify access for SSH servers, Kubernetes clusters, web applications, and databases across all environments.

MuleSoft is represented at the conference by [Kenneth DuMez](https://www.linkedin.com/in/kenneth-dumez-086b84220/) in the Keynote [Say Goodbye to Manual Kubernetes User Access Onboarding](https://www.conf42.com/DevSecOps_2022_Kenneth_DuMez_goodbye_manual_kubernetes_user_access_onboarding).

* [About Teleport](https://goteleport.com/about)
* [Get started with Teleport](https://goteleport.com/pricing)
* [Upcoming Events](https://goteleport.com/about/events)
* Teleport on [YouTube](https://www.youtube.com/channel/UC1O9RGv3FGJau091DD09ooQ)

Teleport has their own [Blog](https://goteleport.com/blog), a great read for all folks in the field!

#### RSVP for free - [Conf42 DevSecOps 2022](https://www.conf42.com/devsecops2022#register)!"
,JavaScript 2021 is ready!,Come and see what's on the table.,2021-10-27,2021-10-27-java-script-event,./assets/splash/JS2021_Session_Splash.png,"# Amazing news! We’ve got 30+ talks for you guys, our favourite geeks <3

This event is like no other! Listen to [Lauren Hayward Schaefer](https://www.linkedin.com/in/laurenjanece/) talk about why it’s worth putting some effort into your developer profile. And [Jay McCarthy](https://www.linkedin.com/in/jay-mccarthy-34a6b95/) is here to tell you all about blockchains and how you can use them in JavaScript. 

If you want to know more about hexagonal architecture, [Luca Mezzalira](https://www.linkedin.com/in/lucamezzalira/) is here for you. Also, don’t forget to check out [Assaf Krintza](https://www.linkedin.com/in/assaf-krintza/) giving tips on how to fully enjoy React and avoid its negative effects. 

This and more is waiting for you, come and see!
Also, a big ‘thank you’ to [Reach](https://reach.sh/), our Gold sponsor. 
"
,Site Reliability Engineering 2021 is here!,An elephant in the blameless war room.,2021-09-30,2021-09-30-an-elephant-in-the-room,./assets/splash/SRE2021_Session_Splash.png,"# Site Reliability Engineering 2021!

This time we’ve got no less than eight fabulous keynote talks! Come and check out [Umasankar Mukkara](https://www.linkedin.com/in/uma-mukkara/) talking about improving resilience using Chaos Engineering. How about learning from your failures? [Robert Ross](https://www.linkedin.com/in/bobby-tables/) will talk you through that process. If you want to hear more about Survival Level Indicators and how to stay human in the tech world, [Alayshia Knighten](https://www.linkedin.com/in/alayshia/) has the answers for you. Surely, no further encouragement needed, so go and enjoy your new skills! 

Special thanks to [Blameless](https://www.conf42.com/blameless) and [Cortex](https://www.conf42.com/cortex) for being our Platinum sponsors!
"
,Blameless <> Conf42 SRE 2021,The End-to-End SRE Platform becomes the Platinum Sponsor of the conference,2021-09-22,2021-09-22-blameless-sponsor-announcement,./assets/splash/BLOG_Blameless_SRE2021.png,"# [Blameless](https://www.blameless.com) has become a Platinum Sponsor of [Conf42: SRE 2021](https://www.conf42.com/sre2021)

The company is represented at the conference by [Emily Arnott](https://twitter.com/EmilyArnott8) and [Christina Tan](https://twitter.com/etoilezhhjd) in the opening keynote: [Elephant in the Blameless War Room - Accountability](https://www.conf42.com/Site_Reliability_Engineering_2021_Emily_Arnott_Christina_Tan_elephant_in_the_room).

Check out the latest Conf42Cast episode with Emily & Christina. Watch [here](https://youtu.be/V2KGvMGPg2A).

Blameless has a blog, featuring dozens of insightful posts on Site Reliability Engineering. Make sure to check out their latest [article](https://www.blameless.com/sre/elephant-in-the-blameless-war-room-accountability?utm_campaign=TS-21Q3-Conf42%3ASRE&utm_source=Conf42-SRE&utm_medium=virtual-booth-blog-elephant-war-room)!

* [Try Blameless Now](https://www.blameless.com/try-now)
* [Schedule Demo](https://www.blameless.com/schedule-demo)
* [Blameless SLO 1-Pager](https://d6d4ismr40iw.cloudfront.net/event/547b9958-3374-4931-bb9e-f2d776583a2e/resources/blamelesssloonepager_v1.pdf?utm_campaign=TS-21Q3-Conf42%3ASRE&utm_source=Conf42-SRE&utm_medium=virtual-booth-slo-1-pager)
* [Raffle time](https://info.blameless.com/conf42-sre-raffle)! Win Beats Solo3 wireless headphones.

#### See you at [Conf42 SRE 2021](https://www.conf42.com/sre2021)!"
,Cortex <> Conf42 SRE 2021,Understand and Improve your services thanks to our Platinum Sponsor,2021-09-16,2021-09-16-cortex-sponsor-announcement,./assets/splash/BLOG_Cortex_SRE2021.png,"# [Cortex](https://www.cortex.io) joins in as the Platinum Sponsor of [Conf42: SRE 2021](https://www.conf42.com/sre2021)

Cortex is a Software Engineering Platform that gives organizations visibility into their microservices and drives adoption of best practices so they can deliver higher quality software.

The company is represented at the conference by [Cristina Buenahora Bustamante](https://twitter.com/@crisgoodtime) in the keynote: [Evangelizing the SRE mindset: Building a culture of reliability and ownership](https://www.conf42.com/Site_Reliability_Engineering_2021_Cristina_Buenahora_Bustamante_evangelizing_culture_ownership).

Tune in for the new [Conf42Cast](https://www.conf42.com/podcast). [Miko Pawlikowski](https://twitter.com/mikopawlikowski) had a chat with [Ganesh Datta](https://twitter.com/gsdatta), Cofounder & CTO 
of Cortex. Watch it [here](https://youtu.be/csFAVyw14V4).

Make sure to check out [How SREs can drive team adoption of the 4 golden signals](https://www.cortex.io/post/how-sres-can-drive-team-adoption-of-the-4-golden-signals), the featured article on their SRE blog.

* [Learn more](https://www.cortex.io/products/scorecard/?utm_source=conf42) about how Cortex helps teams establish best practices
* [Book a demo](https://www.cortex.io/demo/?utm_source=conf42)
* [Case study](https://www.cortex.io/case-study/clever/?utm_source=conf42): How Clever standardized service quality across its 500+ services 

#### RSVP for FREE to attend [Conf42 SRE 2021](https://www.conf42.com/sre2021)!"
,k6 <> Conf42 SRE 2021,The best developer experience for load testing is provided by our Gold Sponsor,2021-09-14,2021-09-14-k6-sponsor-announcement,./assets/splash/BLOG_K6_SRE2021.png,"# [k6](https://k6.io) becomes Gold Sponsor of [Conf42: SRE 2021](https://www.conf42.com/sre2021)

k6 offers open source load testing tool and SaaS for engineering teams. Perfect for SREs, SDETs & QAs, comes with 20+ integrations.
k6 was recently acquired by Grafana Labs, adding performance testing to their elaborate observability stack.

k6 is looking for a Developer Advocate from the SRE scene to connect to the open source community and to help build and maintain k6 extensions.

###[Apply now](https://jobs.lever.co/grafana/c1d02e30-0dca-438c-b4bb-72444f95d28a)

Make sure to tune in for the upcoming [Conf42Cast](https://www.conf42.com/podcast) with [Nicole van der Hoeven](https://twitter.com/n_vanderhoeven) and [Simme Aronsson](https://twitter.com/0x12b). The premiere is scheduled for October 14 2021.

* [The story of k6](https://k6.io/about/)
* [Schedule demo](https://calendly.com/k6cloud/k6-cloud-walkthrough?month=2021-09)
* k6 [Blog](https://k6.io/blog)
* k6 [YouTube channel](https://www.youtube.com/channel/UC8ryLdIbmkVJq4Zt613oZPQ)

#### Join [Conf42 SRE 2021](https://www.conf42.com/sre2021) to watch the content!"
,Machine Learning 2021 kicks off tomorrow!,There is no cat.,2021-07-28,2021-07-28-ml-kicks-off-tomorrow,./assets/splash/ML2021_Session_Splash.png,"# Will machines take over the world? Well, we don’t know. But it can’t hurt to learn some more about them, right?

Welcome to our Machine Learning paradise! 23 fresh talks covering AI Pipelines, ML Projects gone wrong and the power of Machine Learning. As well as our keynote speakers: [Antje Barth](https://www.linkedin.com/in/antje-barth/) and [Tempest van Schaik](https://www.linkedin.com/in/tempestvanschaik/) talking about the steps to develop high-quality Machine Learning and ethical challenges that AI practitioners need to face. All this content is already available at our website, just one click away!

Also a word of appreciation to our Gold sponsor, [AWS](https://aws.amazon.com/), our Silver sponsors and Media partners. Thank you for your support!"
,Golang event is live!,Say hello to gophers from around the world!,2021-06-24,2021-06-24-golang-is-live,./assets/splash/GO2021_Session_Splash.png,"# fmt.Println(""hello world!"")

Welcome to our first-ever Conf42 Golang conference!

We couldn't be more excited for this event. 25 amazing talks delivered by speakers from around the world. We have something for everyone!

The `getting started` track will help any Golang newbie advance in their Go journey. The `security` track will allow you to learn from a CISO with decades' worth of experience, using decentralized identity tokens and even writing Quantum-Resistant code in Go! `Frameworks` covers tools like `GoPickle` and `Ent`. `Deep dive` will take you from building blockchains, to secured gRPC servers, terminal emulators, state machines and WebRTC. And finally `lessons learnt` track will share with you lessons from using concurrency primitives to building clouds... in the cloud.

The event is kicking off today, and the attendance is free for our community members. See you [there](https://www.conf42.com/golang2021)!"
,The first edition of Conf42 Python is live!,Snakes and Pandas united,2021-05-27,2021-05-27-python,./assets/splash/PYTH2021_Session_Splash.png,"# Ever wondered what on earth Panda has to do with Python? Well, it’s about time to find out!

Over 30 amazing speakers will provide you with all the answers about Idiomatic Pandas, analyzing data within Python using Pandas and more! But as you delve into that, don’t forget to have a look at our keynote speakers. [Gordon Rudd](https://www.linkedin.com/in/gordonrudd/) is there for you to talk about Cybersecurity for fast-growing companies. Listen to [Naomi Kriger](https://www.linkedin.com/in/naomi-kriger/) breaking down text analysis for you. And let [Cheuk Ting Ho](https://www.linkedin.com/in/cheukting-ho/) take you on an adventure of discovering what being Pythonic really means.

Sounds interesting? Come and check all the talks, already available on our website!
Let us also thank our Gold sponsors: [Behalf](https://www.behalf.com/) and [TerminusX](https://terminusdb.com/)."
,Explore the endless opportunities of the Cloud-Native!,It came from the Cloud!,2021-04-29,2021-04-29-cloud-native,./assets/splash/CN2021_Session_Splash.png,"# All the friends of the Cloud, gather around! For I have the best news for you. Conf42 exclusive 46 Cloud Native talks await!

This is how you can become a pro in creating Puerta, as [Or Elimelech](https://www.linkedin.com/in/0r3limelech/) and [Eldad Rudich](https://www.linkedin.com/in/eldad-rudich/) will guide you through the process. You will also hear about some of the biggest challenges that [Michael Sickles](https://www.linkedin.com/in/msickles/) has overcome on his journey with OpenTelemetry. [Josh Stella](https://www.linkedin.com/in/josh-stella-949a9711/) will cover how to identify AWS IAM misconfigurations. And [Uma Mukkara](https://www.linkedin.com/in/uma-mukkara/) will inspire you to think about the usage of Chaos Engineering in Cloud Native. 
And a very special treat for you - the one and only chance to see our very own CCO, Marek Pawlikowski, surfing on a whale in space! 

All the talks are available now on our website. 
We are also delighted to have [Chaos Native](https://www.linkedin.com/company/chaos-native/), [Fugue](https://www.fugue.co/), [Honeycomb](https://info.honeycomb.io/conf42-sre-lego-giveaway-2021) and [StackPulse](https://stackpulse.com/) as our Gold sponsors."
,Enterprise Software lands on Earth!,"My name is Apache Kafka, but everybody calls me Kafka",2021-03-25,2021-03-25-enterprise-software,./assets/splash/ENTERPRISE2021_Session_Splash.png,"# How do you feel about enterprise software? A big fan? Shy but curious? Or maybe just neutral? Whichever the case, we’ve got something for you!

Listen to 21 epic talks covering some Java lifehacks, how to react in a world full of events, all about building your own Dependency Injection framework and many, many more! Our keynote speaker, [Liran Haimovitch](https://www.conf42.com/Enterprise_Software_2021_Liran_Haimovitch_understandability_wrong), will talk you through the most important idea in software, the underrated concept of understandability. 
If that sounds interesting then just wait to hear the rest of them! All the talks are now available on our website.

A quick “thank you” to our Gold sponsor, [Rookout](https://www.rookout.com/).
"
,New website is live!,Let us know how you like it!,2021-02-28,2021-02-28-new-website,./assets/splash/BLOG_website.PNG,"# Welcome to the new website!

We have completely redesigned the conf42.com website.

From the ground up, we designed it with minimal fluff and disruption, and maximal content.

You said you wanted to use it on your mobile, so it's mobile-first. You said you wanted it to load fast, so we shaved off over 50% from the loading speeds.

#### Let us know how you like it on the [Discord server](https://discord.gg/DnyHgrC7jC)!"
